"Index Name","Date","Open","High","Low","Close"
"NIFTY CHEMICALS","20 Sep 2012","-","-","-","2409.71"
"NIFTY CHEMICALS","18 Sep 2012","-","-","-","2415.13"
"NIFTY CHEMICALS","17 Sep 2012","-","-","-","2416.97"
"NIFTY CHEMICALS","14 Sep 2012","-","-","-","2428.39"
"NIFTY CHEMICALS","13 Sep 2012","-","-","-","2435.50"
"NIFTY CHEMICALS","12 Sep 2012","-","-","-","2442.70"
"NIFTY CHEMICALS","11 Sep 2012","-","-","-","2423.14"
"NIFTY CHEMICALS","10 Sep 2012","-","-","-","2436.13"
"NIFTY CHEMICALS","08 Sep 2012","-","-","-","2390.92"
"NIFTY CHEMICALS","07 Sep 2012","-","-","-","2378.45"
"NIFTY CHEMICALS","06 Sep 2012","-","-","-","2356.14"
"NIFTY CHEMICALS","05 Sep 2012","-","-","-","2339.29"
"NIFTY CHEMICALS","04 Sep 2012","-","-","-","2334.43"
"NIFTY CHEMICALS","03 Sep 2012","-","-","-","2334.82"
"NIFTY CHEMICALS","31 Aug 2012","-","-","-","2299.47"
"NIFTY CHEMICALS","30 Aug 2012","-","-","-","2286.17"
"NIFTY CHEMICALS","29 Aug 2012","-","-","-","2288.14"
"NIFTY CHEMICALS","28 Aug 2012","-","-","-","2290.99"
"NIFTY CHEMICALS","27 Aug 2012","-","-","-","2330.32"
"NIFTY CHEMICALS","24 Aug 2012","-","-","-","2343.66"
"NIFTY CHEMICALS","23 Aug 2012","-","-","-","2346.59"
"NIFTY CHEMICALS","22 Aug 2012","-","-","-","2333.70"
"NIFTY CHEMICALS","21 Aug 2012","-","-","-","2322.70"
"NIFTY CHEMICALS","17 Aug 2012","-","-","-","2313.25"
